"beacon_id","timestamp","device_id","is_present","rssi"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681878351.001","5046452","false","null"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681883680.001","5046452","true","'-31"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681883799.001","5046452","true","'-39"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681883919.001","5046452","true","'-33"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681884042.001","5046452","true","'-33"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681884164.001","5046452","true","'-32"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681884281.001","5046452","true","'-32"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681884401.001","5046452","true","'-39"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681884522.001","5046452","true","'-34"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681884645.001","5046452","true","'-21"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681884762.001","5046452","true","'-32"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681884883.001","5046452","true","'-21"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885007.001","5046452","true","'-21"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885126.001","5046452","true","'-32"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885243.001","5046452","true","'-32"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885363.001","5046452","true","'-21"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885542.001","5046452","true","'-32"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885615.001","5046452","true","'-22"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885734.001","5046452","true","'-32"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885855.001","5046452","true","'-21"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","1681885979.001","5046452","true","'-32"
