"timestamp","beacon_id","device_id","is_present","lastseen","rssi","status"
"1682528236","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","false","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-93","ongoing"
"1682527996","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","false","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-85","ongoing"
"1682530141","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-42","completed"
"1682530277","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-42","completed"
"1682527691","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","false","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-82","ongoing"
"1682528206","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-8","completed"
"1682529540","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-12","completed"
"1682527350","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-20","completed"
"1682528823","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","false","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-78","ongoing"
"1682530402","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-46","completed"
"1682528602","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","false","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-85","ongoing"
"1682529174","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-63","completed"
"1682528742","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","false","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-80","ongoing"
"1682527846","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-38","completed"
"1682529911","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-30","completed"
"1682528652","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-33","completed"
"1682529014","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-69","completed"
"1682527145","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-48","completed"
"1682528307","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-61","completed"
"1682527721","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-21","completed"
