beacon_id,timestamp,device_id,is_present,rssi,timestamp_datetime
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681878351,5046452,False,,2023-04-19 11:25:51+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681883680,5046452,True,-31,2023-04-19 12:54:40+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681883799,5046452,True,-39,2023-04-19 12:56:39+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681883919,5046452,True,-33,2023-04-19 12:58:39+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681884042,5046452,True,-33,2023-04-19 13:00:42+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681884164,5046452,True,-32,2023-04-19 13:02:44+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681884281,5046452,True,-32,2023-04-19 13:04:41+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681884401,5046452,True,-39,2023-04-19 13:06:41+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681884522,5046452,True,-34,2023-04-19 13:08:42+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681884645,5046452,True,-21,2023-04-19 13:10:45+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681884762,5046452,True,-32,2023-04-19 13:12:42+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681884883,5046452,True,-21,2023-04-19 13:14:43+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885007,5046452,True,-21,2023-04-19 13:16:47+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885126,5046452,True,-32,2023-04-19 13:18:46+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885243,5046452,True,-32,2023-04-19 13:20:43+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885363,5046452,True,-21,2023-04-19 13:22:43+07:00
