"lastseen","beacon_id","device_id","is_present","rssi","state","timestamp"
"FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","'-9","0","1682572905"
"E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","false","'-78","1","1682572935"
